rowid,YEAR,GoogleKnowlege_Occupation,Show,Group,Raw_Guest_List
1,1999,actor,1/11/99,Acting,Michael J. Fox
2,1999,Comedian,1/12/99,Comedy,Sandra Bernhard
3,1999,television actress,1/13/99,Acting,Tracey Ullman
4,1999,film actress,1/14/99,Acting,Gillian Anderson
5,1999,actor,1/18/99,Acting,David Alan Grier
6,1999,actor,1/19/99,Acting,William Baldwin
7,1999,Singer-lyricist,1/20/99,Musician,Michael Stipe
8,1999,model,1/21/99,Media,Carmen Electra
9,1999,actor,1/25/99,Acting,Matthew Lillard
10,1999,stand-up comedian,1/26/99,Comedy,David Cross
11,1999,actress,1/27/99,Acting,Yasmine Bleeth
12,1999,actor,1/28/99,Acting,D. L. Hughley
13,1999,television actress,10/18/99,Acting,Rebecca Gayheart
14,1999,Comedian,10/19/99,Comedy,Steven Wright
15,1999,actress,10/20/99,Acting,Amy Brenneman
16,1999,actress,10/21/99,Acting,Melissa Gilbert
17,1999,actress,10/25/99,Acting,Cathy Moriarty
18,1999,comedian,10/26/99,Comedy,Louie Anderson
19,1999,actress,10/27/99,Acting,Sarah Michelle Gellar
20,1999,Singer-songwriter,10/28/99,Musician,Melanie C
21,1999,actor,10/4/99,Acting,Greg Proops
22,1999,television personality,10/5/99,Media,Maury Povich
23,1999,actress,10/6/99,Acting,Brooke Shields
24,1999,Comic,10/7/99,Comedy,Molly Shannon
25,1999,actor,11/1/99,Acting,Chris O'Donnell
26,1999,actress,11/15/99,Acting,Christina Ricci
27,1999,Singer-songwriter,11/16/99,Musician,Tori Amos
28,1999,actress,11/17/99,Acting,Yasmine Bleeth
29,1999,comedian,11/18/99,Comedy,Bill Maher
30,1999,actress,11/2/99,Acting,Jennifer Love Hewitt
31,1999,rock band,11/29/99,Musician,Goo Goo Dolls
32,1999,musician,11/3/99,Musician,Dave Grohl
33,1999,Film actor,11/30/99,Acting,Stephen Rea
34,1999,Model,11/4/99,Media,Roshumba Williams
35,1999,television actress,11/8/99,Acting,Kellie Martin
36,1999,actress,11/9/99,Acting,Kathy Griffin
37,1999,actress,12/1/99,Acting,Laura San Giacomo
38,1999,journalist,12/13/99,Media,Joan Lunden
39,1999,actress,12/14/99,Acting,Shannen Doherty
40,1999,,12/15/99,,Greatest Millennium Special
41,1999,comedian,12/16/99,Comedy,George Carlin
42,1999,actor,12/2/99,Acting,Michael Boatman
43,1999,actor,12/20/99,Acting,David Boreanaz
44,1999,singer-songwriter,12/21/99,Musician,Jewel
45,1999,actor,12/6/99,Acting,Paul Rudd
46,1999,us senator,12/7/99,Politician,"Senator Bob Dole, part 1"
47,1999,us senator,12/8/99,Politician,"Senator Bob Dole, part 2"
48,1999,actor,12/9/99,Acting,Rob Schneider
49,1999,comedian,2/1/99,Comedy,George Carlin
50,1999,actress,2/10/99,Acting,"Pamela Anderson, Natalie Raitano, Molly Culver"
51,1999,actress,2/10/99,Acting,"Pamela Anderson, Natalie Raitano, Molly Culver"
52,1999,actress,2/10/99,Acting,"Pamela Anderson, Natalie Raitano, Molly Culver"
53,1999,film actor,2/11/99,Acting,Daniel Stern
54,1999,actress,2/16/99,Acting,Melina Kanakaredes
55,1999,comedian,2/17/99,Comedy,Ed McMahon
56,1999,actor,2/18/99,Acting,Mike Judge
57,1999,actor,2/2/99,Acting,Dave Foley
58,1999,television actress,2/3/99,Acting,Kellie Martin
59,1999,actor,2/4/99,Acting,Jerry O'Connell
60,1999,actress,2/8/99,Acting,Melissa Gilbert
61,1999,actor,2/9/99,Acting,Brendan Fraser
62,1999,pianist,3/1/99,Musician,John Tesh
63,1999,Vocalist,3/10/99,Musician,Sammy Hagar
64,1999,rock band,3/11/99,Musician,"Hootie & the Blowfish, Billy Crystal"
65,1999,actor,3/11/99,Acting,"Hootie & the Blowfish, Billy Crystal"
66,1999,Film actor,3/15/99,Acting,Peter Krause
67,1999,musician,3/16/99,Musician,Chris Isaak
68,1999,writer,3/17/99,Media,"Frank DeCaro's Oscar Special, John Larroquette"
69,1999,actor,3/17/99,Acting,"Frank DeCaro's Oscar Special, John Larroquette"
70,1999,actor,3/18/99,Acting,Joseph Gordon-Levitt
71,1999,actor,3/2/99,Acting,Eric McCormack
72,1999,actress,3/22/99,Acting,Jennifer Grey
73,1999,Stand-up comedian,3/23/99,Comedy,Norm Macdonald
74,1999,actress,3/24/99,Acting,Sandra Bullock
75,1999,actress,3/25/99,Acting,Janine Turner
76,1999,Film director,3/29/99,Media,Ron Howard
77,1999,actress,3/3/99,Acting,Jeri Ryan
78,1999,actor,3/30/99,Acting,Omar Epps
79,1999,actress,3/31/99,Acting,Diane Lane
80,1999,actor,3/4/99,Acting,Ryan Phillippe
81,1999,actor,3/8/99,Acting,Ian McKellen
82,1999,actor,3/9/99,Acting,Jon Voight
83,1999,actor,4/1/99,Acting,Stephen Baldwin
84,1999,actor,4/12/99,Acting,Ernie Hudson
85,1999,film actor,4/13/99,Acting,Josh Charles
86,1999,actor,4/14/99,Acting,Jackie Chan
87,1999,actress,4/15/99,Acting,Marlee Matlin
88,1999,actress,4/19/99,Acting,Sharon Lawrence
89,1999,actor,4/20/99,Acting,Rob Estes
90,1999,actress,4/21/99,Acting,Angelina Jolie
91,1999,stand-up comedian,4/22/99,Comedy,David Spade
92,1999,actor,4/26/99,Acting,Seth Green
93,1999,actress,4/27/99,Acting,Sheryl Lee Ralph
94,1999,singer,4/28/99,Musician,Chris Robinson
95,1999,comedian,4/29/99,Comedy,Joy Behar
96,1999,actor,5/10/99,Acting,Thomas Gibson
97,1999,actress,5/11/99,Acting,Paula Cale
98,1999,actor,5/12/99,Acting,Ted Danson
99,1999,actor,5/13/99,Acting,Esai Morales
100,1999,actress,5/17/99,Acting,Jane Seymour
101,1999,Comedian,5/18/99,Comedy,Robert Schimmel
102,1999,actress,5/19/99,Acting,Camryn Manheim
103,1999,actor,5/20/99,Acting,Ray Romano
104,1999,television actress,5/24/99,Acting,Patricia Richardson
105,1999,actress,5/25/99,Acting,Suzanne Somers
106,1999,actress,5/26/99,Acting,Natalie Portman
107,1999,actor,5/27/99,Acting,Jamie Foxx
108,1999,actor,6/10/99,Acting,Timothy Hutton
109,1999,actor,6/14/99,Acting,Mike Myers
110,1999,actor,6/15/99,Acting,Rob Lowe
111,1999,actor,6/16/99,Acting,Mike Myers
112,1999,actress,6/17/99,Acting,Heather Graham
113,1999,film actress,6/21/99,Acting,Felicity Huffman
114,1999,television host,6/22/99,Media,Jimmy Kimmel
115,1999,actor,6/23/99,Acting,Adam Sandler
116,1999,Stand-up comedian,6/24/99,Comedy,Richard Belzer
117,1999,Comedian,6/28/99,Comedy,Margaret Cho
118,1999,actor,6/29/99,Acting,Scott Wolf
119,1999,actress,6/30/99,Acting,Roseanne Barr
120,1999,singer,6/7/99,Musician,Harry Connick Jr.
121,1999,comedian,6/8/99,Comedy,Caroline Rhea
122,1999,actor,6/9/99,Acting,Damon Wayans
123,1999,actor,7/1/99,Acting,Rob Schneider
124,1999,televison actor,7/12/99,Acting,Adam Arkin
125,1999,muppet,7/13/99,Media,Miss Piggy
126,1999,actor,7/14/99,Acting,John Leguizamo
127,1999,Stand-up comedian,7/15/99,Comedy,Robert Klein
128,1999,actress,7/19/99,Acting,Christa Miller
129,1999,stand-up comedian,7/20/99,Comedy,David Brenner
130,1999,,7/21/99,,Third Anniversary Special
131,1999,actress,7/22/99,Acting,Joely Fisher
132,1999,singer,7/26/99,Musician,Donny Osmond
133,1999,actress,7/27/99,Acting,Wendie Malick
134,1999,Vocalist,7/28/99,Musician,Vince Neil
135,1999,film actress,7/29/99,Acting,Janeane Garofalo
136,1999,comedian,8/10/99,Comedy,Dom Irrera
137,1999,actor,8/11/99,Acting,Pierce Brosnan
138,1999,director,8/12/99,Media,Eduardo Sanchez and Daniel Myrick
139,1999,film director,8/12/99,Media,Eduardo Sanchez and Daniel Myrick
140,1999,american television personality,8/16/99,Media,Carson Daly
141,1999,actress,8/17/99,Acting,Molly Ringwald
142,1999,actress,8/18/99,Acting,Sarah Jessica Parker
143,1999,actor,8/19/99,Acting,French Stewart
144,1999,actress,8/2/99,Acting,Bebe Neuwirth
145,1999,actress,8/23/99,Acting,Cheryl Ladd
146,1999,rapper,8/24/99,Musician,LL Cool J
147,1999,singer-songwriter,8/25/99,Musician,Dwight Yoakam
148,1999,actress,8/26/99,Acting,Nia Long
149,1999,actor,8/3/99,Acting,Garry Marshall
150,1999,,8/30/99,,The Daily Show Summer Spectacular
151,1999,actor,8/4/99,Acting,Denis Leary
152,1999,actor,8/5/99,Acting,Jeffrey Tambor
153,1999,actor,8/9/99,Acting,Dave Foley
154,1999,comedian,9/13/99,Comedy,Elayne Boosler
155,1999,actor,9/14/99,Acting,Tom Green
156,1999,actor,9/15/99,Acting,Jason Priestley
157,1999,stand-up comedian,9/16/99,Comedy,David Cross
158,1999,actor,9/20/99,Acting,Andy Richter
159,1999,singer,9/21/99,Musician,Donny Osmond Marie Osmond
160,1999,comedian,9/22/99,Comedy,Dave Chappelle
161,1999,actor,9/23/99,Acting,Steve Zahn
162,1999,Stand-up comedian,9/27/99,Comedy,Norm Macdonald
163,1999,actress,9/28/99,Acting,Melissa Joan Hart
164,1999,Comedian,9/29/99,Comedy,Richard Lewis
165,1999,actor,9/30/99,Acting,Bruce McCulloch and Mark McKinney
166,1999,comedian,9/30/99,Comedy,Bruce McCulloch and Mark McKinney
167,2000,football player,1/10/00,Athletics,Joe Montana
168,2000,actor,1/11/00,Acting,Will Ferrell
169,2000,rapper,1/12/00,Musician,Ice Cube
170,2000,Singer-lyricist,1/13/00,Musician,Michael Stipe
171,2000,actress,1/17/00,Acting,Penelope Ann Miller
172,2000,actor,1/18/00,Acting,Frankie Muniz
173,2000,actor,1/19/00,Acting,Freddie Prinze Jr.
174,2000,former mayor of cincinatti,1/20/00,Politician,Jerry Springer
175,2000,Film actress,1/24/00,Acting,Selma Blair
176,2000,Film actor,1/25/00,Acting,Peter Krause
177,2000,model,1/26/00,Media,Jenny McCarthy
178,2000,actor,1/27/00,Acting,David Arquette
179,2000,actress,1/4/00,Acting,Cynthia Nixon
180,2000,Singer-songwriter,1/5/00,Musician,Robbie Williams
181,2000,Stand-up comedian,1/6/00,Comedy,Richard Belzer
182,2000,singer-songwriter,10/16/00,Musician,Alice Cooper
183,2000,actor,10/17/00,Acting,Christian Slater
184,2000,actor,10/18/00,Acting,Joshua Jackson
185,2000,actor,10/19/00,Acting,Brendan Fraser
186,2000,actor,10/2/00,Acting,Dean Cain
187,2000,actor,10/23/00,Acting,Kevin James
188,2000,comedian,10/24/00,Comedy,Jeff Garlin
189,2000,businesswoman,10/25/00,Business,Posh Spice & Baby Spice
190,2000,singer,10/25/00,Musician,Posh Spice & Baby Spice
191,2000,actor,10/26/00,Acting,Steven Weber
192,2000,actor,10/3/00,Acting,Ashton Kutcher
193,2000,actress,10/30/00,Acting,Brett Butler
194,2000,journalist,10/31/00,Media,David Frost
195,2000,singer-songwriter,10/4/00,Musician,Jewel
196,2000,activist,10/5/00,Advocacy,Ralph Nader
197,2000,Media person,11/1/00,Media,Phil Donahue
198,2000,actor,11/13/00,Acting,Adam Sandler
199,2000,actress,11/14/00,Acting,Patricia Arquette
200,2000,actor,11/15/00,Acting,Adam Sandler
201,2000,actor,11/16/00,Acting,Rhys Ifans
202,2000,actor,11/2/00,Acting,Michael Richards
203,2000,,11/20/00,,Tales of Survival with Vance DeGeneres
204,2000,actor,11/27/00,Acting,John Goodman
205,2000,actress,11/28/00,Acting,Laura San Giacomo
206,2000,film actor,11/29/00,Acting,Billy Campbell
207,2000,actor,11/30/00,Acting,Anthony Clark
208,2000,former us senator,11/6/00,Politician,Arlen Specter
209,2000,american politician,11/7/00,Politician,Bob Dole
210,2000,Stand-up comedian,11/8/00,Comedy,Richard Belzer
211,2000,Filmmaker,11/9/00,Media,Michael Moore
212,2000,radio personality,12/11/00,Media,Ira Glass
213,2000,commentator,12/12/00,Media,Greta Van Susteren
214,2000,,12/13/00,,no guest
215,2000,Journalist,12/14/00,Media,Wolf Blitzer
216,2000,actress,12/18/00,Acting,Marla Sokoloff
217,2000,actress,12/19/00,Acting,Marisa Tomei
218,2000,actress,12/20/00,Acting,Jeri Ryan
219,2000,film actress,12/21/00,Acting,Gillian Anderson
220,2000,actor,12/4/00,Acting,Thomas Gibson
221,2000,actress,12/5/00,Acting,Faith Ford
222,2000,actor,12/6/00,Acting,Chris O'Donnell
223,2000,actor,12/7/00,Acting,Marlon Wayans
224,2000,actor,2/1/00,Acting,Jeff Bridges
225,2000,actor,2/1/00,Acting,Vin Diesel
226,2000,Singer-songwriter,2/14/00,Musician,Moby
227,2000,actor,2/15/00,Acting,Dennis Farina
228,2000,actor,2/16/00,Acting,Matthew Perry
229,2000,comedian,2/17/00,Comedy,Ed McMahon
230,2000,former senator from kansas,2/2/00,Politician,"Focus on New Hampshire Special, special guest Bob Dole"
231,2000,actor,2/22/00,Acting,Snoop Dogg
232,2000,actress,2/23/00,Acting,Charlize Theron
233,2000,actress,2/24/00,Acting,Rachael Leigh Cook
234,2000,actor,2/28/00,Acting,Forest Whitaker
235,2000,actor,2/3/00,Acting,Jason Priestly
236,2000,actor,3/1/00,Acting,Tobey Maguire
237,2000,stand-up comedian,3/13/00,Comedy,Eddie Izzard
238,2000,actress,3/14/00,Acting,Kim Delaney
239,2000,Journalist,3/15/00,Media,Wolf Blitzer
240,2000,comedian,3/16/00,Comedy,George Wallace
241,2000,comedian,3/2/00,Comedy,Ellen DeGeneres
242,2000,actor,3/20/00,Acting,Chris Meloni
243,2000,actress,3/21/00,Acting,Marla Sokoloff
244,2000,comedian,3/22/00,Comedy,Eric Idle
245,2000,film actress,3/23/00,Acting,Leelee Sobieski
246,2000,singer-songwriter,3/27/00,Musician,John Lydon
247,2000,actor,3/28/00,Acting,Joshua Jackson
248,2000,Reporter,3/29/00,Media,Sam Donaldson
249,2000,actor,3/30/00,Acting,Jimmy Smits
250,2000,actor,3/6/00,Acting,Neil Patrick Harris
251,2000,actor,3/7/00,Acting,Kevin Pollak
252,2000,american politician,3/8/00,Politician,Bob Dole
253,2000,comedian,3/9/00,Comedy,Garry Shandling
254,2000,Singer,4/10/00,Musician,Roger Daltrey
255,2000,writer,4/11/00,Media,Ben Stein
256,2000,Film actor,4/12/00,Acting,Patrick Stewart
257,2000,actor,4/13/00,Acting,David Alan Grier
258,2000,actor,4/17/00,Acting,Stanley Tucci
259,2000,actress,4/18/00,Acting,Samantha Mathis
260,2000,professional wrestler,4/19/00,Athletics,Diamond Dallas Page
261,2000,former us senator,4/20/00,Politician,Arlen Specter
262,2000,publisher,4/24/00,Media,Hugh Hefner and Bentley twins
263,2000,model,4/24/00,Media,Hugh Hefner and Bentley twins
264,2000,actress,4/25/00,Acting,Kirsten Dunst
265,2000,film actress,4/26/00,Acting,Jeanne Tripplehorn
266,2000,actor,4/27/00,Acting,Stephen Baldwin
267,2000,Film actress,5/1/00,Acting,S. Epatha Merkerson
268,2000,actor,5/10/00,Acting,Andy Richter
269,2000,actress,5/11/00,Acting,Betty White
270,2000,television actress,5/15/00,Acting,Tracey Ullman
271,2000,actor,5/16/00,Acting,Kyle MacLachlan
272,2000,actress,5/17/00,Acting,Jane Leeves
273,2000,actor,5/18/00,Acting,Michael Rapaport
274,2000,actor,5/2/00,Acting,Luke Wilson
275,2000,actress,5/3/00,Acting,Julie Warner
276,2000,actress,5/30/00,Acting,Laura Kightlinger
277,2000,actress,5/31/00,Acting,Thandie Newton
278,2000,actor,5/4/00,Acting,Eric Close
279,2000,actress,5/8/00,Acting,Wendie Malick
280,2000,actor,5/9/00,Acting,Jesse L. Martin
281,2000,reality show contestant,6/1/00,Media,Sonja Christopher
282,2000,actor,6/13/00,Acting,Mark Curry
283,2000,television host,6/14/00,Media,Jimmy Kimmel & Adam Carolla
284,2000,comedian,6/14/00,Comedy,Jimmy Kimmel & Adam Carolla
285,2000,actress,6/15/00,Acting,Julie Brown
286,2000,writer,6/19/00,Media,Heather Donahue
287,2000,former press secretary,6/20/00,Political Aide,Joe Lockhart
288,2000,actor,6/21/00,Acting,Freddie Prinze Jr.
289,2000,actress,6/22/00,Acting,Alicia Silverstone
290,2000,comic,6/26/00,Comedy,Cheri Oteri
291,2000,game show host,6/27/00,Media,Jeff Probst
292,2000,Guitarist,6/28/00,Musician,Richie Sambora
293,2000,actor,6/29/00,Acting,John C. Reilly
294,2000,magician,6/5/00,Media,Penn and Teller
295,2000,actress,6/6/00,Acting,Kelli Williams
296,2000,Filmmaker,6/7/00,Media,Michael Moore
297,2000,actress,7/10/00,Acting,Anna Paquin
298,2000,actor,7/11/00,Acting,J. K. Simmons
299,2000,actress,7/12/00,Acting,Famke Janssen
300,2000,actor,7/13/00,Acting,Billy Crudup
301,2000,actor,7/17/00,Acting,Shawn Wayans & Marlon Wayans
302,2000,actor,7/17/00,Acting,Shawn Wayans & Marlon Wayans
303,2000,actress,7/18/00,Acting,Halle Berry
304,2000,,7/19/00,,Fourth Anniversary Special
305,2000,television personality,7/20/00,Media,Al Roker
306,2000,actor,7/24/00,Acting,Peter Fonda
307,2000,writer,7/25/00,Media,Joe Eszterhas
308,2000,actress,7/26/00,Acting,Jennifer Beals
309,2000,,7/31/00,,"Campaign Trail to the Road to the White House Mo Rocca, Vance DeGeneres"
310,2000,american politician,8/1/00,Politician,Bob Dole
311,2000,former governor of nebraska,8/15/00,Politician,Bob Kerrey
312,2000,actor,8/16/00,Acting,William Baldwin
313,2000,american politician,8/18/00,Politician,Bob Dole
314,2000,Former U.S. Representative,8/2/00,Politician,Mary Bono
315,2000,actor,8/22/00,Acting,Jeremy Piven
316,2000,Musician,8/23/00,Musician,Slash
317,2000,actor,8/24/00,Acting,Vincent D'Onofrio
318,2000,american politician,8/3/00,Politician,Bob Dole
319,2000,Former United States Secretary of Labor,8/4/00,Politician,Robert Reich and Ben Stein
320,2000,writer,8/4/00,Media,Robert Reich and Ben Stein
321,2000,actor,9/11/00,Acting,Joe Mantegna
322,2000,actor,9/12/00,Acting,Eugene Levy
323,2000,boxer,9/13/00,Athletics,Lennox Lewis
324,2000,former us senator,9/14/00,Politician,Joe Lieberman
325,2000,actor,9/18/00,Acting,Ryan Phillippe
326,2000,actress,9/19/00,Acting,Jamie Lee Curtis
327,2000,rock band,9/20/00,Musician,Barenaked Ladies
328,2000,actor,9/21/00,Acting,Jamie Foxx
329,2000,comedian,9/25/00,Comedy,Jonathan Katz
330,2000,actor,9/26/00,Acting,Bill Goldberg
331,2000,actor,9/27/00,Acting,Sylvester Stallone
332,2000,actor,9/28/00,Acting,Tony Danza
333,2000,film actor,9/5/00,Acting,Donal Logue
334,2000,actor,9/6/00,Acting,Greg Kinnear
